trial_idx,score,batch_size,partition_strategy,partition_shards,total_latency_cycles,compute_cycles,memory_stall_cycles,io_injection_cycles,allreduce_cycles,vc_wait_cycles,buffer_wait_cycles,link_wait_cycles,pipeline_cycles,gateway_noc_hops,gateway_peak_load,network_throughput,network_saturation,pe_type,pe_width,cube_startup_cycles,cube_steady_cycles,noc_topology,noc_routing,noc_flow_control,noc_num_vcs,noc_buffer_depth,now_topology,now_routing,now_flow_control,gateways_per_reticle,gateway_policy,io_distribution_policy
60,-734843.9160000001,4,col,1,705071,657474,30920,3942,0,135240,3,0,139278,216,0,63.0401256380055,1.0,cube,16,27,5,flat_butterfly,table_based,wormhole,1,8,flat_butterfly,table_based,wormhole,8,nearest,round_robin
61,-3490584.14,16,k_split,2,3161819,2629698,491720,7392,0,814245,12,0,1655016,1040,0,97.28449816716653,1.0,cube,16,27,5,torus2d,ugal,wormhole,1,4,mesh2d,table_based,credit_vc,4,nearest,load_aware
62,-3751003.556,16,expert,1,3189458,2629698,491720,7638,0,3141570,0,0,2533236,956,0,53.16486209065925,1.0,cube,16,27,5,mesh2d,ugal,credit_vc,1,16,flat_butterfly,table_based,wormhole,8,load_aware,nearest
63,-372633.61199999996,4,col,2,359744,328770,15560,3449,5602,44196,0,0,190731,212,0,126.16941694169417,1.0,cube,16,27,5,torus2d,xy,credit_vc,2,4,flat_butterfly,table_based,wormhole,1,load_aware,load_aware
64,-3488174.2399999998,16,k_split,7,3167381,2629698,491720,7392,0,734538,0,0,3607260,1040,0,83.25591765834436,1.0,cube,16,27,5,mesh2d,ugal,wormhole,2,8,flat_butterfly,ugal,wormhole,2,nearest,load_aware
65,-3583766.248,16,expert,1,3218699,2629698,491720,9363,0,1173336,0,0,3694260,1048,0,36.525671648581636,1.0,cube,16,27,5,mesh2d,ugal,wormhole,2,16,mesh2d,ugal,credit_vc,2,load_aware,round_robin
66,-3479293.04,16,expert,1,3172178,2629698,491720,7392,0,597756,0,0,3049704,1040,0,74.04685482383324,1.0,cube,16,27,5,mesh2d,table_based,credit_vc,4,8,mesh2d,ugal,wormhole,4,load_aware,load_aware
67,-121133.394,4,col,7,113128,95262,4588,4681,4812,47750,0,0,90807,194,0,212.10462351387054,1.0,cube,16,27,5,torus2d,table_based,wormhole,1,16,mesh2d,xy,wormhole,2,nearest,nearest
68,-727448.416,4,k_split,1,700328,657474,30920,3942,0,108717,1,0,118125,216,0,100.45245245245245,1.0,cube,16,27,5,torus2d,xy,wormhole,1,4,mesh2d,ugal,wormhole,4,load_aware,round_robin
69,-159509.01599999997,4,k_split,7,142894,105154,4588,3942,16469,135306,18,0,138465,216,0,63.01043874107213,1.0,cube,16,27,5,flat_butterfly,table_based,credit_vc,1,4,flat_butterfly,table_based,credit_vc,8,nearest,round_robin
70,-3418113.7399999998,16,k_split,4,3145727,2629698,491720,7392,0,250473,0,0,2024868,1040,0,189.82467340545014,1.0,cube,16,27,5,torus2d,ugal,credit_vc,2,8,mesh2d,xy,wormhole,4,load_aware,load_aware
71,-3606507.448,16,k_split,4,3251225,2629698,491720,9363,0,1075488,0,0,1988676,1048,0,26.661884361196904,1.0,cube,16,27,5,torus2d,ugal,credit_vc,2,8,mesh2d,ugal,wormhole,4,load_aware,round_robin
72,-3400084.04,16,col,1,3143426,2629698,491720,7392,0,93186,0,0,6603036,1040,0,219.7088122605364,1.0,cube,16,27,5,flat_butterfly,table_based,credit_vc,4,16,flat_butterfly,xy,wormhole,2,nearest,load_aware
73,-3458577.3559999997,16,k_split,2,3157940,2629698,491720,7638,0,532488,0,0,2522100,956,0,111.17795319207866,1.0,cube,16,27,5,flat_butterfly,xy,credit_vc,2,8,flat_butterfly,table_based,credit_vc,1,load_aware,nearest
74,-3429251.848,16,expert,1,3153281,2629698,491720,9363,0,282372,0,0,3341676,1048,0,142.72284444444443,1.0,cube,16,27,5,mesh2d,table_based,wormhole,4,16,mesh2d,ugal,wormhole,4,load_aware,round_robin
75,-3489616.556,16,expert,1,3158720,2629698,491720,7638,0,835080,0,0,1030956,956,0,108.25458468176915,1.0,cube,16,27,5,mesh2d,table_based,wormhole,2,16,flat_butterfly,xy,wormhole,1,load_aware,nearest
76,-3514856.2399999998,16,k_split,7,3195590,2629698,491720,7392,0,719268,0,0,1213236,1040,0,48.08721174004193,1.0,cube,16,27,5,flat_butterfly,ugal,credit_vc,1,16,mesh2d,table_based,wormhole,2,nearest,load_aware
77,-3596561.84,16,k_split,4,3222302,2629698,491720,7392,0,1268964,240,0,1121904,1040,0,34.34800838574424,1.0,cube,16,27,5,flat_butterfly,ugal,credit_vc,1,4,flat_butterfly,ugal,credit_vc,1,nearest,load_aware
78,-114700.894,4,col,7,110869,95262,4588,4681,4812,6015,0,0,503346,194,0,526.0917431192661,1.0,cube,16,27,5,torus2d,table_based,wormhole,4,16,mesh2d,ugal,credit_vc,8,load_aware,nearest
79,-307690.09400000004,4,k_split,4,274854,173634,7880,4681,14406,279597,0,0,762441,194,0,10.811899855898078,1.0,cube,16,27,5,mesh2d,ugal,wormhole,2,4,flat_butterfly,table_based,wormhole,1,load_aware,nearest
80,-713077.712,4,expert,1,695552,657474,30920,3449,0,13757,0,0,709995,212,0,216.45079536263142,1.0,cube,16,27,5,mesh2d,table_based,credit_vc,4,16,mesh2d,xy,wormhole,2,nearest,load_aware
81,-715148.216,4,expert,1,695519,657474,30920,3942,0,33806,0,0,140394,216,0,252.21991831605405,1.0,cube,16,27,5,flat_butterfly,xy,credit_vc,1,8,mesh2d,ugal,credit_vc,2,load_aware,round_robin
82,-718163.4120000001,4,k_split,1,699262,657474,30920,3449,0,27514,0,0,709995,212,0,108.21081008222133,1.0,cube,16,27,5,mesh2d,xy,wormhole,4,4,mesh2d,xy,wormhole,1,nearest,load_aware
83,-3396977.756,16,k_split,1,3136277,2629698,491720,7638,0,133122,0,0,2522100,956,0,444.71181276831464,1.0,cube,16,27,5,flat_butterfly,xy,wormhole,2,8,mesh2d,ugal,credit_vc,1,load_aware,nearest
