trial_idx,score,batch_size,partition_strategy,partition_shards,tile_pipeline,total_latency_cycles,compute_cycles,memory_stall_cycles,io_injection_cycles,allreduce_cycles,vc_wait_cycles,buffer_wait_cycles,link_wait_cycles,pipeline_cycles,gateway_noc_hops,gateway_peak_load,network_throughput,network_saturation,pe_type,pe_width,cube_startup_cycles,cube_steady_cycles,noc_topology,noc_routing,noc_flow_control,noc_num_vcs,noc_buffer_depth,now_topology,now_routing,now_flow_control,gateways_per_reticle,gateway_policy,io_distribution_policy
79,-1396985.794,4,streaming,1,True,877163,1302579,1034712,4681,0,15304,0,0,444195,194,0,316.69270216962525,1.0,cube,16,27,5,mesh2d,xy,wormhole,4,4,flat_butterfly,xy,credit_vc,4,nearest,nearest
80,-2313330.5560000003,16,entwined_ring,1,False,1786217,2629698,1040472,7638,0,53448,42,0,5991108,956,0,192.27974372792048,1.0,cube,16,27,5,flat_butterfly,ugal,wormhole,4,4,mesh2d,xy,wormhole,2,nearest,nearest
81,-4027567.656,16,col,4,True,3497464,5210163,1040472,7638,0,83391,0,0,1866120,956,0,827.2189592993302,1.0,cube,16,27,5,torus2d,table_based,credit_vc,4,16,flat_butterfly,xy,credit_vc,4,load_aware,nearest
82,-4047760.656,16,expert,1,True,3497770,5210163,1040472,7638,0,282174,87,0,802164,956,0,404.23766364551864,1.0,cube,16,27,5,flat_butterfly,table_based,wormhole,1,4,mesh2d,xy,credit_vc,8,load_aware,nearest
83,-2511643.84,16,k_split,4,False,1863008,2629698,1040472,7392,0,1268964,240,0,1121904,1040,0,34.34800838574424,1.0,cube,16,27,5,flat_butterfly,ugal,credit_vc,1,4,mesh2d,table_based,credit_vc,4,load_aware,load_aware
84,-2398875.648,16,streaming,7,False,1810844,2629698,1040472,9363,0,659220,0,0,847164,1048,0,77.70189701897019,1.0,cube,16,27,5,torus2d,xy,credit_vc,2,8,flat_butterfly,table_based,wormhole,4,nearest,round_robin
85,-4065560.648,16,expert,1,True,3510490,5210163,1040472,9363,0,329610,0,0,847164,1048,0,155.40379403794037,1.0,cube,16,27,5,torus2d,xy,credit_vc,2,8,mesh2d,xy,wormhole,8,nearest,round_robin
86,-4098415.956,16,row,1,True,3503734,5210163,1040472,7638,0,729174,0,0,450396,956,0,230.89329882082254,1.0,cube,16,27,5,torus2d,table_based,credit_vc,1,8,mesh2d,ugal,wormhole,8,load_aware,nearest
87,-1248301.8120000002,4,entwined_ring,1,False,716631,657474,1034712,3449,0,136248,0,0,287499,212,0,55.23329893360853,1.0,cube,16,27,5,mesh2d,table_based,wormhole,2,16,flat_butterfly,xy,credit_vc,8,load_aware,load_aware
88,-321301.91199999995,4,entwined_ring,4,False,188818,164418,259944,3449,1598,18219,0,0,1237896,212,0,64.15342816046028,1.0,cube,16,27,5,mesh2d,ugal,credit_vc,4,4,mesh2d,table_based,credit_vc,4,load_aware,load_aware
89,-1400257.4120000002,4,row,1,True,876677,1302579,1034712,3449,0,55344,0,0,114036,212,0,191.37449344457687,1.0,cube,16,27,5,torus2d,xy,credit_vc,1,16,mesh2d,xy,wormhole,8,load_aware,load_aware
90,-2450936.356,16,hybrid_nk,2,False,1811282,2629698,1040472,7638,0,1178898,0,0,3370008,956,0,76.88703730306948,1.0,cube,16,27,5,mesh2d,ugal,wormhole,2,16,mesh2d,ugal,credit_vc,4,load_aware,nearest
91,-1226599.794,4,expert,1,False,706777,657474,1034712,4681,0,15304,0,0,444195,194,0,316.69270216962525,1.0,cube,16,27,5,mesh2d,table_based,credit_vc,4,16,flat_butterfly,ugal,credit_vc,8,nearest,nearest
92,-2439624.5560000003,16,k_split,1,False,1836716,2629698,1040472,7638,0,811440,0,0,6676380,956,0,47.78666666666667,1.0,cube,16,27,5,mesh2d,ugal,credit_vc,4,16,mesh2d,xy,wormhole,8,nearest,nearest
93,-2317239.5560000003,16,block,4,False,1784252,2629698,1040472,7638,0,112230,0,0,7629624,956,0,217.9196525515744,1.0,cube,16,27,5,flat_butterfly,table_based,credit_vc,4,16,mesh2d,ugal,credit_vc,8,load_aware,nearest
94,-1400385.612,4,hybrid_nk,1,True,881659,1302579,1034712,3449,0,6806,0,0,721437,212,0,87.48131197559115,0.7416367004467691,cube,16,27,5,torus2d,ugal,wormhole,4,4,mesh2d,ugal,wormhole,4,nearest,load_aware
