trial_idx,score,batch_size,partition_strategy,partition_shards,tile_pipeline,total_latency_cycles,compute_cycles,network_cycles,memory_stall_cycles,io_injection_cycles,allreduce_cycles,vc_wait_cycles,buffer_wait_cycles,link_wait_cycles,pipeline_cycles,gateway_noc_hops,gateway_peak_load,network_throughput,network_saturation,pe_type,pe_width,cube_startup_cycles,cube_steady_cycles,noc_topology,noc_routing,noc_flow_control,noc_num_vcs,noc_buffer_depth,now_topology,now_routing,now_flow_control,gateways_per_reticle,gateway_policy,io_distribution_policy
138,-2342803.2399999998,16,col,1,False,1791200,2629698,21684,1040472,7392,0,298878,0,0,3049704,1040,0,148.0937096476665,1.0,cube,16,27,5,supermesh_alter,table_based,wormhole,4,8,flat_butterfly,table_based,credit_vc,2,load_aware,load_aware
139,-4031746.056,16,col,4,True,3497464,5210163,7215,1040472,7638,0,125175,0,0,2311428,956,0,445.0816354816355,1.0,cube,16,27,5,mesh2d,table_based,credit_vc,4,4,mesh2d,xy,credit_vc,8,load_aware,nearest
140,-4193922.156,16,col,1,True,3525034,5210163,35208,1040472,7638,0,1471236,0,0,1398372,956,0,91.20836173596909,1.0,cube,16,27,5,flat_butterfly,ugal,credit_vc,1,16,flat_butterfly,ugal,wormhole,2,nearest,nearest
141,-777999.116,4,col,2,True,501616,651315,26893,518200,3942,65358,164945,0,0,599484,216,0,29.85222920462574,1.0,cube,16,27,5,butterfly,ugal,credit_vc,2,8,mesh2d,xy,wormhole,4,nearest,round_robin
142,-4146504.2399999998,16,entwined_ring,4,True,3509725,5210163,19899,1040472,7392,0,1150638,0,0,658956,1040,0,161.37815970651792,1.0,cube,16,27,5,butterfly,table_based,credit_vc,1,4,butterfly,table_based,wormhole,8,nearest,load_aware
143,-2361662.44,16,col,7,False,1781483,2629698,11967,1040472,7392,0,584640,0,0,803508,1040,0,268.34327734603494,1.0,cube,16,27,5,supermesh_alter,xy,wormhole,1,8,flat_butterfly,xy,credit_vc,8,nearest,load_aware
144,-4459640.640000001,16,col,4,True,3644110,5210163,154284,1040472,7392,0,2938152,0,0,3607260,1040,0,20.81397941458609,1.0,cube,16,27,5,supermesh_alter,ugal,credit_vc,2,4,butterfly,ugal,wormhole,2,nearest,load_aware
145,-691609.0939999999,4,col,7,True,588066,188687,74253,149294,4681,462116,279597,0,0,762441,194,0,10.811899855898078,1.0,cube,16,27,5,mesh2d,ugal,wormhole,2,16,mesh2d,ugal,wormhole,8,load_aware,nearest
146,-4270552.955999999,16,col,7,True,3532750,5210163,42924,1040472,7638,0,2160384,0,0,667680,956,0,74.81278538812785,1.0,cube,16,27,5,mesh2d,table_based,wormhole,1,16,flat_butterfly,table_based,wormhole,8,load_aware,nearest
147,-2473612.156,16,entwined_ring,7,False,1804724,2629698,35208,1040472,7638,0,1471236,0,0,1398372,956,0,91.20836173596909,1.0,cube,16,27,5,flat_butterfly,ugal,credit_vc,1,16,mesh2d,ugal,credit_vc,4,nearest,nearest
148,-2305288.456,16,entwined_ring,2,False,1777154,2629698,4029,1040472,7638,0,63699,0,0,10556544,956,0,797.0374782824522,1.0,cube,16,27,5,flat_butterfly,table_based,credit_vc,4,8,mesh2d,ugal,credit_vc,2,load_aware,nearest
149,-628915.112,4,entwined_ring,4,True,466712,325683,19953,259944,3449,248566,315411,0,0,169863,212,0,40.235353079737386,1.0,cube,16,27,5,supermesh_bi,table_based,wormhole,1,4,mesh2d,table_based,credit_vc,2,nearest,load_aware
150,-4106491.956,16,entwined_ring,4,True,3504016,5210163,14190,1040472,7638,0,807114,0,0,892572,956,0,226.3047216349542,1.0,cube,16,27,5,butterfly,table_based,wormhole,2,8,butterfly,table_based,wormhole,4,load_aware,nearest
151,-2372017.2399999998,16,entwined_ring,2,False,1804328,2629698,34812,1040472,7392,0,459738,0,0,6695724,1040,0,92.24589222107319,1.0,cube,16,27,5,supermesh_alter,ugal,wormhole,4,16,mesh2d,ugal,credit_vc,8,nearest,load_aware
152,-1396781.916,4,entwined_ring,1,True,876424,1302579,3688,1034712,3942,0,22133,0,0,501765,216,0,217.68329718004338,1.0,cube,16,27,5,butterfly,table_based,wormhole,4,8,butterfly,ugal,wormhole,8,load_aware,round_robin
153,-652808.216,4,col,2,False,390801,328770,3230,518200,3942,39233,21186,0,0,215856,216,0,248.54984520123838,1.0,cube,16,27,5,flat_butterfly,xy,credit_vc,2,16,flat_butterfly,ugal,wormhole,1,load_aware,round_robin
154,-790259.5120000001,4,col,2,True,514699,651315,9976,518200,3449,78441,157705,0,0,169863,212,0,80.4747393744988,1.0,cube,16,27,5,mesh2d,xy,wormhole,1,8,butterfly,table_based,wormhole,8,load_aware,load_aware
